9533;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;;;;;;;;;;;;;;;;;;
9535;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;NAPOLI AFRAGOLA;;;;;;;;;;;;;;;;;
9536;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;
9541;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;NAPOLI AFRAGOLA;;;;;;;;;;;;;;;;;
9543;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;NAPOLI AFRAGOLA;;;;;;;;;;;;;;;;;
9548;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;
9552;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;
9555;FR;MILANO CENTRALE;SALERNO;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;NAPOLI CENTRALE;;;;;;;;;;;;;;;;;
9559;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;;;;;;;;;;;;;;;;;;
9560;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;REGGIO EMILIA AV;;;;;;;;;;;;;;;;;
9562;FR;SALERNO;MILANO CENTRALE;NAPOLI CENTRALE;NAPOLI AFRAGOLA;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;REGGIO EMILIA AV;;;;;;;;;;;;;;;
9563;FR;MILANO CENTRALE;PERUGIA;MILANO ROGOREDO;REGGIO EMILIA AV;BOLOGNA C.LE/AV;FIRENZE S.M.N.;AREZZO;;;;;;;;;;;;;;;;;
9565;FR;TORINO P.NUOVA;ROMA TERMINI;TORINO PORTA SUSA ;MILANO CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;;;;;;;;;;;;;;;;;
9566;FR;ROMA TERMINI;MILANO CENTRALE;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;MODENA;REGGIO EMILIA;PARMA;PIACENZA;;;;;;;;;;;;;;;
9572;FR;NAPOLI CENTRALE;FIRENZE S.M.N.;ROMA TERMINI;ROMA TIBURTINA;AREZZO ;;;;;;;;;;;;;;;;;;;
9587;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TERMINI;NAPOLI AFRAGOLA;;;;;;;;;;;;;;;;;;
9590;FR;SAPRI;MILANO CENTRALE;CENTOLA;VALLO DELLA LUC. CASTELNUOVO;AGROPOLI CASTELLABATE;SALERNO;NAPOLI CENTRALE;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;REGGIO EMILIA AV;;;;;;;;;;;;
9591;FR;MILANO CENTRALE;SALERNO;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;NAPOLI AFRAGOLA;NAPOLI CENTRALE;;;;;;;;;;;;;;;;
9596;FR;MILANO CENTRALE;TORINO P.NUOVA;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;;;;;;
9604;FR;BRESCIA;NAPOLI CENTRALE;MILANO CENTRALE;REGGIO EMILIA AV;ROMA TERMINI;;;;;;;;;;;;;;;;;;;
9608;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;;;
9610;FR;NAPOLI CENTRALE;TORINO P.NUOVA;ROMA TERMINI;MILANO ROGOREDO;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;;;
9613;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;ROMA TERMINI;NAPOLI AFRAGOLA;;;;;;;;;;;;;;;;;;;
9614;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;MILANO ROGOREDO;;;;;;;;;;;;;;;;;;;;
9619;FR;TORINO P.NUOVA;ROMA TERMINI;TORINO PORTA SUSA ;MILANO CENTRALE;MILANO ROGOREDO;;;;;;;;;;;;;;;;;;;
9629;FR;MILANO CENTRALE;NAPOLI CENTRALE;BOLOGNA C.LE/AV;ROMA TERMINI;NAPOLI AFRAGOLA;;;;;;;;;;;;;;;;;;;
9638;FR;ROMA TERMINI;TORINO P.NUOVA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;;;;;
9643;FR;MILANO CENTRALE;ROMA TERMINI;;;;;;;;;;;;;;;;;;;;;;
9644;FR;NAPOLI CENTRALE;MILANO CENTRALE;NAPOLI AFRAGOLA;ROMA TERMINI;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;;
9646;FR;NAPOLI CENTRALE;TORINO P.NUOVA;ROMA TERMINI;MILANO ROGOREDO;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;;;
9650;FR;NAPOLI CENTRALE;BRESCIA;ROMA TERMINI;BOLOGNA C.LE/AV;MILANO CENTRALE;;;;;;;;;;;;;;;;;;;
9653;FR;TORINO P.NUOVA;ROMA TERMINI;TORINO PORTA SUSA ;MILANO CENTRALE;MILANO ROGOREDO;ROMA TIBURTINA;;;;;;;;;;;;;;;;;;
9664;FR;NAPOLI CENTRALE;MILANO CENTRALE;ROMA TERMINI;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;;;
9671;FR;TORINO P.NUOVA;ROMA TERMINI;TORINO PORTA SUSA ;MILANO CENTRALE;BOLOGNA C.LE/AV;;;;;;;;;;;;;;;;;;;
9683;FR;ROMA TERMINI;NAPOLI CENTRALE;;;;;;;;;;;;;;;;;;;;;;
9685;FR;FIRENZE S.M.N.;NAPOLI CENTRALE;ROMA TERMINI;;;;;;;;;;;;;;;;;;;;;
9700;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;DESENZANO;BRESCIA;;;;;;;;;;;;;;;
9702;FR;VENEZIA SANTA LUCIA;TORINO P.NUOVA;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;DESENZANO;BRESCIA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;
9703;FR;MILANO CENTRALE;UDINE;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;VENEZIA SANTA LUCIA;VENEZIA MESTRE;TREVISO C.;CONEGLIANO;PORDENONE;;;;;;;;;;;
9705;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
9706;FR;VENEZIA SANTA LUCIA;MILANO CENTRALE;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;DESENZANO;BRESCIA;;;;;;;;;;;;;;;;
9707;FR;TORINO P.NUOVA;TRIESTE CENTRALE;TORINO PORTA SUSA ;MILANO CENTRALE;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;S. DONA` DI PIAVE;PORTOGRUARO CAORLE;LATISANA LIGNANO B.;CERVIGNANO A.G;TRIESTE AEROPORTO;MONFALCONE;;;;;;;;
9710;FR;TRIESTE CENTRALE;TORINO P.NUOVA;MONFALCONE;CERVIGNANO A.G;VENEZIA MESTRE;VERONA PORTA NUOVA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;;;
9713;FR;TORINO P.NUOVA;VENEZIA SANTA LUCIA;TORINO PORTA SUSA ;NAPOLI CENTRALE;BRESCIA;DESENZANO;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;
9714;FR;VENEZIA SANTA LUCIA;TORINO P.NUOVA;VENEZIA MESTRE;PADOVA;VICENZA;VERONA PORTA NUOVA;PESCHIERA DEL GARDA;BRESCIA;MILANO CENTRALE;TORINO PORTA SUSA ;;;;;;;;;;;;;;
9715;FR;MILANO CENTRALE;VENEZIA SANTA LUCIA;BRESCIA;PESCHIERA DEL GARDA;VERONA PORTA NUOVA;VICENZA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
